date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:23:28 ,38.86,1.22%,"548,090",226.30K,922.54M,-27.20M,681.70M,1.97,-,13.46,-,13.01,1.35,3.20,3.60,0.24,18.31%,25.39%,31.16%,75.18,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,23.74M,14.94M,3.27%,2.16,38.80,-2.14%,74.81%,38.39,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.16%,-,-,1722,1.80
2018-10-17,20:16:06 ,39.06,0.51%,"261,811",226.30K,927.28M,-27.20M,681.70M,1.98,-,13.52,-,13.08,1.36,3.20,3.60,0.24,17.66%,25.22%,31.62%,75.22,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,23.74M,14.94M,3.27%,2.16,38.80,-3.29%,75.71%,38.86,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.16%,-,-,1722,1.80
2018-10-18,20:54:32 ,38.25,-2.07%,"297,281",229.33K,908.06M,-27.20M,681.70M,1.94,-,13.24,-,12.81,1.33,3.20,3.60,0.24,14.10%,21.82%,28.67%,69.58,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,23.74M,14.94M,3.27%,2.13,38.80,-5.30%,72.06%,39.06,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.16%,-,-,1722,1.80
2018-10-19,21:03:00 ,37.35,-2.35%,"242,644",231.87K,886.69M,-27.20M,681.70M,1.89,-,12.93,-,12.51,1.30,3.20,3.60,0.24,10.46%,18.23%,25.46%,64.08,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,23.74M,14.94M,3.27%,2.10,38.80,-7.53%,68.02%,38.25,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.16%,-,-,1722,1.80
2018-10-22,18:16:13 ,36.66,-1.85%,"330,746",233.07K,941.06M,-27.20M,681.70M,1.86,-,12.12,-,13.27,1.38,3.20,3.60,0.24,7.73%,15.44%,22.98%,60.48,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,25.67M,14.94M,3.27%,2.09,44.17,-9.23%,64.91%,37.35,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.20%,-,-,1722,1.70
2018-10-23,18:16:48 ,35.53,-3.08%,"206,823",233.81K,912.06M,-27.20M,681.70M,1.80,-,11.74,-,12.86,1.34,3.20,3.60,0.24,3.79%,11.38%,19.04%,54.95,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,25.67M,14.94M,3.27%,2.09,44.17,-12.03%,59.83%,36.66,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.20%,-,-,1722,1.70
2018-10-24,18:16:44 ,34.52,-2.84%,"331,490",232.24K,886.13M,-27.20M,681.70M,1.75,-,11.41,-,12.50,1.30,3.20,3.60,0.24,0.45%,7.77%,15.54%,50.10,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,25.67M,14.94M,3.27%,2.10,44.17,-14.53%,55.29%,35.53,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.20%,-,-,1722,1.70
2018-10-25,18:16:38 ,35.47,2.75%,"276,831",231.67K,910.51M,-27.20M,681.70M,1.80,-,11.72,-,12.84,1.34,3.20,3.60,0.24,2.60%,10.31%,18.63%,54.02,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,25.67M,14.94M,3.27%,2.11,44.17,-12.18%,59.56%,34.52,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.20%,-,-,1722,1.70
2018-10-26,18:15:09 ,36.13,1.86%,"202,634",227.50K,927.46M,-27.20M,681.70M,1.83,-,11.94,-,13.08,1.36,3.20,3.60,0.24,3.75%,11.85%,20.72%,56.41,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,25.67M,14.94M,3.27%,2.15,44.17,-10.55%,62.53%,35.47,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.20%,-,-,1722,1.70
2018-10-29,18:15:14 ,34.52,-4.46%,"133,755",226.66K,849.54M,-27.20M,681.70M,1.75,-,11.48,-,11.98,1.25,3.20,3.60,0.24,-1.65%,6.38%,15.22%,50.12,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,24.61M,14.94M,2.82%,1.86,44.17,-14.53%,55.29%,36.13,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.21%,-,-,1722,1.70
2018-10-30,18:16:00 ,35.48,2.78%,"231,904",227.19K,873.16M,-27.20M,681.70M,1.80,-,11.80,-,12.32,1.28,3.20,3.60,0.24,0.66%,9.02%,18.33%,53.76,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,24.61M,14.94M,2.82%,1.85,44.17,-12.16%,59.60%,34.52,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.21%,-,-,1722,1.70
2018-10-31,18:15:45 ,37.03,4.37%,"179,426",227.53K,911.31M,-27.20M,681.70M,1.87,-,12.31,-,12.85,1.34,3.20,3.60,0.24,4.61%,13.41%,23.39%,59.33,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,24.61M,14.94M,2.82%,1.85,44.17,-8.32%,66.58%,35.48,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.21%,-,-,1722,1.70
2018-11-01,18:16:25 ,36.28,-2.03%,"243,546",227.50K,892.85M,-27.20M,681.70M,1.84,-,12.06,-,12.59,1.31,3.20,3.60,0.24,1.84%,10.69%,20.75%,55.98,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,24.61M,14.94M,2.82%,1.85,44.17,-10.18%,63.20%,37.03,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.21%,-,-,1722,1.70
2018-11-02,23:39:17 ,36.46,0.50%,"105,940",229.95K,897.28M,-27.20M,681.70M,1.85,-,12.12,-,12.66,1.32,3.20,3.60,0.24,1.77%,10.88%,21.22%,57.51,-3.90%,-6.30%,-10.40%,19.70%,-2.60%,-3.50%,24.61M,14.94M,2.82%,1.83,44.17,-9.73%,64.01%,36.28,-1.18,51.20%,171.30%,0.90%,-,67.60%,0.21%,-,-,1722,1.70
