date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:09:33 ,58.37,1.94%,"79,745",77.02K,1.59B,67.00M,137.40M,2.65,23.16,19.63,7.72,2.49,11.55,-,-,0.00,-2.96%,-5.78%,-1.90%,41.02,1.00%,9.30%,18.50%,-,98.60%,39.80%,27.19M,25.58M,13.04%,43.30,55.00,-9.87%,9.59%,57.26,2.52,7.20%,12.60%,4.09%,-4.31%,87.70%,0.04%,1.60,2.74%,785,3.50
2018-10-17,23:06:10 ,58.71,0.58%,"46,228",77.02K,1.60B,67.00M,137.40M,2.67,23.30,19.75,7.77,2.50,11.62,-,-,0.00,-2.17%,-5.14%,-1.32%,43.00,1.00%,9.30%,18.50%,-,98.60%,39.80%,27.19M,25.58M,13.04%,43.30,55.00,-9.34%,10.23%,58.37,2.52,7.20%,12.60%,4.09%,-4.31%,87.70%,0.04%,1.60,2.73%,785,3.50
2018-10-18,23:40:19 ,57.18,-2.61%,"69,479",77.11K,1.55B,67.00M,137.40M,2.60,22.69,19.23,7.56,2.44,11.32,-,-,0.00,-4.45%,-7.52%,-3.88%,36.45,1.00%,9.30%,18.50%,-,98.60%,39.80%,27.19M,25.58M,13.04%,43.26,55.00,-11.70%,7.36%,58.71,2.52,7.20%,12.60%,4.09%,-4.31%,87.70%,0.04%,1.60,2.80%,785,3.50
2018-10-19,23:47:16 ,56.61,-1.00%,"99,025",77.35K,1.54B,67.00M,137.40M,2.57,22.46,19.04,7.49,2.41,11.20,-,-,0.00,-4.98%,-8.26%,-4.83%,34.28,1.00%,9.30%,18.50%,-,98.60%,39.80%,27.19M,25.58M,13.04%,43.12,55.00,-12.58%,6.29%,57.18,2.52,7.20%,12.60%,4.09%,-4.31%,87.70%,0.04%,1.60,2.83%,785,3.50
2018-10-22,21:13:02 ,55.56,-1.85%,"139,216",77.34K,1.50B,69.00M,140.50M,2.52,21.49,18.96,7.16,2.35,10.65,-,-,0.00,-6.32%,-9.77%,-6.59%,31.27,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.94M,25.55M,13.05%,43.12,54.00,-14.21%,4.32%,56.61,2.59,7.20%,12.60%,4.09%,-4.35%,87.10%,-0.65%,1.60,2.88%,785,3.50
2018-10-23,21:14:06 ,55.86,0.54%,"84,614",77.97K,1.50B,69.00M,140.50M,2.54,21.61,19.06,7.20,2.36,10.71,-,-,0.00,-5.35%,-9.06%,-6.06%,33.28,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.94M,25.55M,13.05%,42.78,54.00,-13.74%,4.88%,55.56,2.59,7.20%,12.60%,4.09%,-4.35%,87.10%,-0.65%,1.60,2.86%,785,3.50
2018-10-24,21:12:09 ,54.50,-2.43%,"163,133",78.06K,1.47B,69.00M,140.50M,2.48,21.08,18.60,7.03,2.30,10.45,-,-,0.00,-7.23%,-11.07%,-8.33%,29.67,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.94M,25.55M,13.05%,42.73,54.00,-15.84%,2.33%,55.86,2.59,7.20%,12.60%,4.09%,-4.35%,87.10%,-0.65%,1.60,2.94%,785,3.50
2018-10-25,21:13:34 ,56.64,3.93%,"117,201",79.63K,1.53B,69.00M,140.50M,2.57,21.91,19.33,7.30,2.39,10.86,-,-,0.00,-3.13%,-7.31%,-4.69%,41.54,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.94M,25.55M,13.05%,41.88,54.00,-12.54%,6.35%,54.50,2.59,7.20%,12.60%,4.09%,-4.35%,87.10%,-0.65%,1.60,2.82%,785,3.50
2018-10-26,21:13:23 ,57.21,1.01%,"91,872",80.49K,1.54B,69.00M,140.50M,2.60,22.13,19.53,7.38,2.42,10.97,-,-,0.00,-1.90%,-6.21%,-3.72%,44.13,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.94M,25.55M,13.05%,41.44,54.00,-11.66%,7.42%,56.64,2.59,7.20%,12.60%,4.09%,-4.35%,87.10%,-0.65%,1.60,2.80%,785,3.50
2018-10-29,21:01:05 ,58.29,1.89%,"84,874",80.49K,1.54B,69.00M,140.50M,2.65,22.55,19.89,7.52,2.41,10.96,-,-,0.00,0.20%,-4.26%,-1.88%,48.80,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.41M,25.55M,13.02%,41.35,53.00,-9.99%,9.44%,57.21,2.59,7.20%,12.60%,4.09%,-2.38%,87.10%,-0.66%,1.60,2.74%,785,3.50
2018-10-30,21:03:33 ,58.59,0.51%,"92,657",80.46K,1.55B,69.00M,140.50M,2.66,22.67,20.00,7.56,2.43,11.01,-,-,0.00,0.81%,-3.62%,-1.36%,49.53,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.41M,25.55M,13.02%,41.36,53.00,-9.53%,10.01%,58.29,2.59,7.20%,12.60%,4.09%,-2.38%,87.10%,-0.66%,1.60,2.73%,785,3.50
2018-10-31,21:01:55 ,58.21,-0.65%,"139,308",81.24K,1.54B,69.00M,140.50M,2.64,22.52,19.87,7.51,2.41,10.94,-,-,0.00,0.22%,-4.11%,-2.00%,47.54,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.41M,25.55M,13.02%,40.97,53.00,-10.11%,9.29%,58.59,2.59,7.20%,12.60%,4.09%,-2.38%,87.10%,-0.66%,1.60,2.75%,785,3.50
2018-11-01,21:03:38 ,59.12,1.56%,"69,210",81.47K,1.56B,69.00M,140.50M,2.69,22.87,20.18,7.62,2.45,11.11,-,-,0.00,2.02%,-2.42%,-0.45%,51.81,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.41M,25.55M,13.02%,40.85,53.00,-8.71%,11.00%,58.21,2.59,7.20%,12.60%,4.09%,-2.20%,87.10%,-0.66%,1.60,2.71%,785,3.50
2018-11-03,02:32:31 ,59.82,1.18%,"86,838",80.89K,1.58B,69.00M,140.50M,2.72,23.14,20.42,7.71,2.48,11.24,-,-,0.00,3.35%,-1.09%,0.74%,54.60,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.41M,25.55M,13.02%,41.14,53.00,-7.63%,12.32%,59.12,2.59,7.20%,12.60%,4.09%,-2.20%,87.10%,-0.66%,1.60,2.67%,785,3.50
2018-11-05,20:05:49 ,60.53,1.19%,"76,265",81.11K,1.60B,69.00M,140.50M,2.75,23.42,20.66,7.81,2.50,11.36,-,-,0.00,4.60%,0.23%,1.96%,57.15,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.36M,25.55M,13.02%,41.03,53.00,-6.53%,13.65%,59.82,2.59,7.20%,12.60%,4.09%,-2.03%,87.10%,-0.68%,1.60,2.64%,785,3.50
2018-11-06,20:03:27 ,60.90,0.61%,"57,812",81.07K,1.61B,69.00M,140.50M,2.77,23.56,20.78,7.85,2.52,11.43,-,-,0.00,5.26%,0.95%,2.60%,58.65,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.36M,25.55M,13.02%,41.05,53.00,-5.96%,14.34%,60.53,2.59,7.20%,12.60%,4.09%,-2.03%,87.10%,-0.68%,1.60,2.63%,785,3.50
2018-11-07,20:12:40 ,62.03,1.86%,"73,309",81.34K,1.64B,69.00M,140.50M,2.82,24.00,21.17,8.00,2.56,11.64,-,-,0.00,7.22%,2.89%,4.51%,62.73,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.36M,25.55M,13.02%,40.92,53.00,-4.22%,16.47%,60.90,2.59,7.20%,12.60%,4.09%,-1.51%,87.10%,-0.68%,1.60,2.58%,785,3.50
2018-11-08,20:23:24 ,62.86,1.34%,"82,013",81.14K,1.66B,69.00M,140.50M,2.86,24.32,21.45,8.11,2.60,11.79,-,-,0.00,8.46%,4.30%,5.92%,65.64,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.36M,25.55M,13.02%,41.01,53.00,-2.93%,18.02%,62.03,2.59,7.20%,12.60%,4.09%,-1.51%,87.10%,-0.68%,1.60,2.55%,785,3.50
2018-11-09,20:38:24 ,62.45,-0.65%,"125,364",80.89K,1.65B,69.00M,140.50M,2.84,24.16,21.31,8.05,2.58,11.72,-,-,0.00,7.25%,3.62%,5.22%,63.47,1.00%,8.90%,18.50%,-,96.10%,37.30%,26.36M,25.55M,13.02%,41.14,53.00,-3.57%,17.25%,62.86,2.59,7.20%,12.60%,4.09%,-1.51%,87.10%,-0.68%,1.60,2.56%,785,3.50
