date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:17:05 ,141.42,5.07%,"2,096,275",1.99M,30.97B,-447.40M,2.24B,-,-,44.21,-,26.48,13.82,0.80,0.80,-,-4.85%,-2.98%,7.39%,46.56,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,219.00M,217.34M,2.44%,2.66,163.48,-11.58%,39.26%,134.60,-2.04,21.90%,72.60%,0.20%,-10.60%,99.70%,0.61%,-,-,8800,2.00
2018-10-17,21:09:06 ,141.77,0.25%,"1,589,951",1.99M,31.05B,-447.40M,2.24B,-,-,44.32,-,26.54,13.86,0.80,0.80,-,-4.38%,-2.84%,7.50%,46.99,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,219.00M,217.34M,2.44%,2.66,163.48,-11.36%,39.61%,141.42,-2.04,21.90%,72.60%,0.20%,-10.60%,99.70%,0.61%,-,-,8800,2.00
2018-10-18,21:47:46 ,137.29,-3.16%,"2,011,226",2.00M,30.07B,-447.40M,2.24B,-,-,42.92,-,25.70,13.42,0.80,0.80,-,-7.19%,-5.99%,3.97%,42.14,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,219.00M,217.34M,2.44%,2.65,163.48,-14.16%,35.19%,141.77,-2.04,21.90%,72.60%,0.20%,-10.60%,99.70%,0.61%,-,-,8800,2.00
2018-10-19,21:55:38 ,133.18,-2.99%,"3,058,206",2.01M,29.17B,-447.40M,2.24B,-,-,41.63,-,24.93,13.02,0.80,0.80,-,-9.48%,-8.85%,0.75%,38.29,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,219.00M,217.34M,2.44%,2.63,163.48,-16.73%,31.15%,137.29,-2.04,21.90%,72.60%,0.20%,-10.60%,99.70%,0.61%,-,-,8800,2.00
2018-10-22,19:10:51 ,135.64,1.85%,"1,883,621",2.03M,30.57B,-447.40M,2.24B,-,-,42.40,-,26.13,13.64,0.80,0.80,-,-7.21%,-7.14%,2.53%,42.00,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,225.36M,217.34M,2.44%,2.61,163.48,-15.19%,33.57%,133.18,-2.04,21.90%,72.60%,0.20%,-10.33%,99.70%,0.58%,-,-,8800,2.00
2018-10-23,19:12:00 ,134.12,-1.12%,"2,325,853",2.04M,30.23B,-447.40M,2.24B,-,-,41.93,-,25.84,13.49,0.80,0.80,-,-7.70%,-8.19%,1.29%,36.64,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,225.36M,217.34M,2.44%,2.59,163.48,-16.14%,32.07%,135.64,-2.04,21.90%,72.60%,0.20%,-10.33%,99.70%,0.58%,-,-,8800,2.00
2018-10-24,19:11:27 ,124.92,-6.86%,"3,608,348",2.06M,28.15B,-447.40M,2.24B,-,-,39.05,-,24.07,12.56,0.80,0.80,-,-13.40%,-14.50%,-5.74%,29.68,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,225.36M,217.34M,2.44%,2.58,163.48,-21.90%,23.01%,134.12,-2.04,21.90%,72.60%,0.20%,-10.33%,99.70%,0.58%,-,-,8800,2.00
2018-10-25,19:11:28 ,130.01,4.07%,"2,701,284",2.10M,29.30B,-447.40M,2.24B,-,-,40.64,-,25.05,13.08,0.80,0.80,-,-8.93%,-10.90%,-1.95%,36.65,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,225.36M,217.34M,2.44%,2.53,163.48,-18.71%,28.03%,124.92,-2.04,21.90%,72.60%,0.20%,-10.33%,99.70%,0.58%,-,-,8800,2.00
2018-10-26,19:09:56 ,124.71,-4.08%,"3,263,311",2.11M,28.10B,-447.40M,2.24B,-,-,38.98,-,24.03,12.54,0.80,0.80,-,-11.84%,-14.52%,-6.01%,32.87,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,225.36M,217.34M,2.44%,2.51,163.48,-22.03%,22.81%,130.01,-2.04,21.90%,72.60%,0.20%,-10.33%,99.70%,0.58%,-,-,8800,2.00
2018-10-29,19:09:07 ,124.13,-0.47%,"3,612,161",2.14M,28.29B,-447.40M,2.24B,-,-,38.91,-,24.18,12.63,0.80,0.80,-,-11.26%,-14.81%,-6.49%,32.62,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,227.91M,217.34M,3.22%,3.28,166.45,-22.39%,22.24%,124.71,-2.04,21.90%,72.60%,0.20%,-10.22%,99.80%,0.66%,-,-,8800,1.90
2018-10-30,19:09:45 ,125.96,1.47%,"2,057,345",2.16M,28.71B,-447.40M,2.24B,-,-,39.49,-,24.54,12.81,0.80,0.80,-,-8.93%,-13.46%,-5.14%,35.29,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,227.91M,217.34M,3.22%,3.24,166.45,-21.25%,24.04%,124.13,-2.04,21.90%,72.60%,0.20%,-10.22%,99.80%,0.66%,-,-,8800,1.90
2018-10-31,19:09:58 ,129.25,2.61%,"2,252,656",2.15M,29.46B,-447.40M,2.24B,-,-,40.52,-,25.18,13.15,0.80,0.80,-,-5.60%,-11.10%,-2.71%,40.06,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,227.91M,217.34M,3.22%,3.25,166.45,-19.19%,27.28%,125.96,-2.04,21.90%,72.60%,0.20%,-10.22%,99.80%,0.66%,-,-,8800,1.90
2018-11-01,19:11:16 ,135.23,4.63%,"2,473,926",2.16M,30.82B,-447.40M,2.24B,-,-,42.39,-,26.35,13.75,0.80,0.80,-,-0.30%,-6.91%,1.72%,48.01,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,227.91M,217.34M,3.22%,3.24,166.45,-15.45%,33.17%,129.25,-2.04,21.90%,72.60%,0.20%,-10.22%,99.80%,0.66%,-,-,8800,1.90
2018-11-03,00:35:23 ,134.13,-0.81%,"1,557,880",2.17M,30.57B,-447.40M,2.24B,-,-,42.05,-,26.13,13.64,0.80,0.80,-,-0.49%,-7.65%,0.81%,47.01,-10.40%,320.00%,-41.40%,87.20%,-16.20%,-18.50%,227.91M,217.34M,3.22%,3.23,166.45,-16.14%,32.08%,135.23,-2.04,21.90%,72.60%,0.20%,-10.22%,99.80%,0.66%,-,-,8800,1.90
